Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ZendeskApi_v2\ZendeskApi_v2.csproj,File,ZendeskApi_v2\ZendeskApi_v2.csproj,,,Newtonsoft.Json 11.0.2,,,,,"Newtonsoft.Json, 11.0.2  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,ZendeskApi_v2\ZendeskApi_v2.csproj,File,ZendeskApi_v2\ZendeskApi_v2.csproj,,,Newtonsoft.Json 11.0.2,,,,,"Newtonsoft.Json, 11.0.2  Recommendation:  Newtonsoft.Json, 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ZendeskApi_v2\ZendeskApi_v2.csproj,File,ZendeskApi_v2\ZendeskApi_v2.csproj,,,,,,,,Current target framework: netstandard2.1;net462;net6.0 Recommended target framework: netstandard2.1;net462;net6.0;net8.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZendeskApi_v2\ZendeskApi_v2.csproj,File,ZendeskApi_v2\Core.cs,387,16,M:System.Net.WebRequest.Create(System.String),,,,,var req = WebRequest.Create(requestUrl) as HttpWebRequest;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZendeskApi_v2\ZendeskApi_v2.csproj,File,ZendeskApi_v2\Core.cs,131,16,M:System.Net.WebRequest.Create(System.String),,,,,var req = WebRequest.Create(requestUrl) as HttpWebRequest;
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ZendeskApi_v2.Example\ZendeskApi_v2.Example.csproj,File,ZendeskApi_v2.Example\ZendeskApi_v2.Example.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net8.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,C:\_git\personal\Speedygeek\ZendeskApi_v2\tests\ZendeskApi_v2.Tests\ZendeskApi_v2.Tests.csproj,File,C:\_git\personal\Speedygeek\ZendeskApi_v2\tests\ZendeskApi_v2.Tests\ZendeskApi_v2.Tests.csproj,,,Microsoft.Extensions.Configuration.EnvironmentVariables 7.0.0,,,,,"Microsoft.Extensions.Configuration.EnvironmentVariables, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.EnvironmentVariables, and replace with new package Microsoft.Extensions.Configuration.EnvironmentVariables 8.0.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,C:\_git\personal\Speedygeek\ZendeskApi_v2\tests\ZendeskApi_v2.Tests\ZendeskApi_v2.Tests.csproj,File,C:\_git\personal\Speedygeek\ZendeskApi_v2\tests\ZendeskApi_v2.Tests\ZendeskApi_v2.Tests.csproj,,,Microsoft.Extensions.Configuration.UserSecrets 7.0.0,,,,,"Microsoft.Extensions.Configuration.UserSecrets, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.UserSecrets, and replace with new package Microsoft.Extensions.Configuration.UserSecrets 8.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,C:\_git\personal\Speedygeek\ZendeskApi_v2\tests\ZendeskApi_v2.Tests\ZendeskApi_v2.Tests.csproj,File,C:\_git\personal\Speedygeek\ZendeskApi_v2\tests\ZendeskApi_v2.Tests\ZendeskApi_v2.Tests.csproj,,,Microsoft.Extensions.Configuration.Binder 7.0.4,,,,,"Microsoft.Extensions.Configuration.Binder, 7.0.4  Recommendation:  Remove Microsoft.Extensions.Configuration.Binder, and replace with new package Microsoft.Extensions.Configuration.Binder 8.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,C:\_git\personal\Speedygeek\ZendeskApi_v2\tests\ZendeskApi_v2.Tests\ZendeskApi_v2.Tests.csproj,File,C:\_git\personal\Speedygeek\ZendeskApi_v2\tests\ZendeskApi_v2.Tests\ZendeskApi_v2.Tests.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net8.0
